ISIN,US105756CA66,,
Coupon,4.5,,
Maturity,10 years,,
Start,2019,End,2029
,,,
time,date,close,
1595574000,24/07/2020,106.398,
1595833200,27/07/2020,106.456,
1595919600,28/07/2020,106.655,
1596006000,29/07/2020,107.027,
1596092400,30/07/2020,107.312,
1596178800,31/07/2020,107.599,
1596438000,03/08/2020,107.948,
1596524400,04/08/2020,108.08,
1596610800,05/08/2020,108.138,
1596697200,06/08/2020,108.523,
1596783600,07/08/2020,108.715,
1597042800,10/08/2020,109.288,
1597129200,11/08/2020,109.809,
1597215600,12/08/2020,108.977,
1597302000,13/08/2020,108.83,
1597388400,14/08/2020,108.107,
1597647600,17/08/2020,107.914,
1597734000,18/08/2020,108.099,
1597820400,19/08/2020,107.761,
1597906800,20/08/2020,107.119,
1597993200,21/08/2020,107.937,
1598252400,24/08/2020,108.021,
1598338800,25/08/2020,108.047,
1598425200,26/08/2020,108.031,
1598511600,27/08/2020,107.81,
1598598000,28/08/2020,107.722,
1598857200,31/08/2020,108.193,
1598943600,01/09/2020,108.462,
1599030000,02/09/2020,109.239,
1599116400,03/09/2020,109.74,
1599202800,04/09/2020,109.324,
1599462000,07/09/2020,109.035,
1599548400,08/09/2020,108.959,
1599634800,09/09/2020,108.8,
1599721200,10/09/2020,109.708,
1599807600,11/09/2020,109.711,
1600066800,14/09/2020,109.555,
1600153200,15/09/2020,109.722,
1600239600,16/09/2020,110.113,
1600326000,17/09/2020,110.149,
1600412400,18/09/2020,109.881,
1600671600,21/09/2020,109.062,
1600758000,22/09/2020,108.532,
1600844400,23/09/2020,107.67,
1600930800,24/09/2020,106.047,
1601017200,25/09/2020,106.557,
1601276400,28/09/2020,106.767,
1601362800,29/09/2020,106.697,
1601449200,30/09/2020,106.276,
1601535600,01/10/2020,107.06,
1601622000,02/10/2020,107.004,
1601881200,05/10/2020,107.214,
1601967600,06/10/2020,107.557,
1602054000,07/10/2020,108.057,
1602140400,08/10/2020,108.817,
1602226800,09/10/2020,108.963,
1602486000,12/10/2020,109.161,
1602572400,13/10/2020,109.278,
1602658800,14/10/2020,109.259,
1602745200,15/10/2020,109.208,
1602831600,16/10/2020,109.139,
1603090800,19/10/2020,109.111,
1603177200,20/10/2020,108.86,
1603263600,21/10/2020,108.882,
1603350000,22/10/2020,108.714,
1603436400,23/10/2020,108.395,
1603699200,26/10/2020,108.222,
1603785600,27/10/2020,108.356,
1603872000,28/10/2020,108.444,
1603958400,29/10/2020,107.945,
1604044800,30/10/2020,107.661,
1604304000,02/11/2020,107.631,
1604390400,03/11/2020,107.827,
1604476800,04/11/2020,108.807,
1604649600,06/11/2020,110.434,
1604908800,09/11/2020,110.406,
1604995200,10/11/2020,110.46,
1605081600,11/11/2020,110.469,
1605168000,12/11/2020,110.646,
1605254400,13/11/2020,110.499,
1605513600,16/11/2020,110.515,
1605600000,17/11/2020,110.49,
1605686400,18/11/2020,110.496,
1605772800,19/11/2020,110.587,
1605859200,20/11/2020,110.754,
1606118400,23/11/2020,110.816,
1606204800,24/11/2020,110.774,
1606291200,25/11/2020,110.804,
1606377600,26/11/2020,110.764,
1606464000,27/11/2020,110.792,
1606723200,30/11/2020,110.827,
1606809600,01/12/2020,110.922,
1606896000,02/12/2020,111.052,
1606982400,03/12/2020,110.79,
1607068800,04/12/2020,111.02,
1607328000,07/12/2020,110.825,
1607414400,08/12/2020,110.697,
1607500800,09/12/2020,110.83,
1607587200,10/12/2020,110.78,
1607673600,11/12/2020,110.904,
1607932800,14/12/2020,111.081,
1608019200,15/12/2020,111.114,
1608105600,16/12/2020,111.3,
1608192000,17/12/2020,111.562,
1608278400,18/12/2020,111.533,
1608537600,21/12/2020,111.535,
1608624000,22/12/2020,111.077,
1608710400,23/12/2020,111.154,
1608796800,24/12/2020,111.198,
1609142400,28/12/2020,111.174,
1609228800,29/12/2020,111.203,
1609315200,30/12/2020,111.292,
1609401600,31/12/2020,111.36,
1609747200,04/01/2021,111.612,
1609833600,05/01/2021,111.487,
1609920000,06/01/2021,110.601,
1610006400,07/01/2021,110.333,
1610092800,08/01/2021,110.134,
1610352000,11/01/2021,109.915,
1610438400,12/01/2021,109.392,
1610524800,13/01/2021,109.881,
1610611200,14/01/2021,110.069,
1610697600,15/01/2021,109.816,
1610956800,18/01/2021,109.479,
1611043200,19/01/2021,109.502,
1611129600,20/01/2021,109.397,
1611216000,21/01/2021,109.578,
1611302400,22/01/2021,109.234,
1611561600,25/01/2021,109.168,
1611648000,26/01/2021,109.298,
1611734400,27/01/2021,109.131,
1611820800,28/01/2021,109.361,
1611907200,29/01/2021,109.492,
1612166400,01/02/2021,109.485,
1612252800,02/02/2021,109.911,
1612339200,03/02/2021,110.187,
1612425600,04/02/2021,110.063,
1612512000,05/02/2021,110.424,
1612771200,08/02/2021,110.233,
1612857600,09/02/2021,110.309,
1612944000,10/02/2021,110.114,
1613030400,11/02/2021,110.223,
1613116800,12/02/2021,110.205,
1613376000,15/02/2021,110.163,
1613462400,16/02/2021,110.054,
1613548800,17/02/2021,109.492,
1613635200,18/02/2021,109.563,
1613721600,19/02/2021,109.427,
1613980800,22/02/2021,107.688,
1614067200,23/02/2021,107.274,
1614153600,24/02/2021,107.878,
1614240000,25/02/2021,107.433,
1614326400,26/02/2021,106.512,
1614585600,01/03/2021,106.46,
1614672000,02/03/2021,106.138,
1614758400,03/03/2021,105.836,
1614844800,04/03/2021,105.72,
1614931200,05/03/2021,105.209,
1615190400,08/03/2021,104.625,
1615276800,09/03/2021,103.424,
1615363200,10/03/2021,103.458,
1615449600,11/03/2021,104.452,
1615536000,12/03/2021,104.505,
1615795200,15/03/2021,104.212,
1615881600,16/03/2021,104.776,
1615968000,17/03/2021,104.605,
1616054400,18/03/2021,104.466,
1616140800,19/03/2021,104.359,
1616400000,22/03/2021,104.423,
1616486400,23/03/2021,104.642,
1616572800,24/03/2021,104.52,
1616659200,25/03/2021,104.11,
1616745600,26/03/2021,103.88,
1617001200,29/03/2021,103.784,
1617087600,30/03/2021,103.325,
1617174000,31/03/2021,103.327,
1617260400,01/04/2021,103.913,
1617692400,06/04/2021,103.85,
1617778800,07/04/2021,104.192,
1617865200,08/04/2021,104.083,
1617951600,09/04/2021,104.146,
1618210800,12/04/2021,103.983,
1618297200,13/04/2021,103.645,
1618383600,14/04/2021,103.896,
1618470000,15/04/2021,104.072,
1618556400,16/04/2021,104.781,
1618815600,19/04/2021,104.979,
1618902000,20/04/2021,105.123,
1618988400,21/04/2021,105.048,
1619074800,22/04/2021,105.067,
1619161200,23/04/2021,105.221,
1619420400,26/04/2021,105.224,
1619506800,27/04/2021,105.29,
1619593200,28/04/2021,105.095,
1619679600,29/04/2021,105.251,
1619766000,30/04/2021,105.275,
1620025200,03/05/2021,105.43,
1620111600,04/05/2021,105.561,
1620198000,05/05/2021,105.674,
1620284400,06/05/2021,106,
1620370800,07/05/2021,106.71,
1620630000,10/05/2021,107.091,
1620716400,11/05/2021,107.244,
1620802800,12/05/2021,107.035,
1620889200,13/05/2021,106.334,
1620975600,14/05/2021,106.623,
1621234800,17/05/2021,106.688,
1621321200,18/05/2021,106.54,
1621407600,19/05/2021,106.432,
1621494000,20/05/2021,106.377,
1621580400,21/05/2021,106.599,
1621839600,24/05/2021,106.654,
1621926000,25/05/2021,106.725,
1622012400,26/05/2021,107.009,
1622098800,27/05/2021,107.333,
1622185200,28/05/2021,107.297,
1622444400,31/05/2021,107.446,
1622530800,01/06/2021,107.427,
1622617200,02/06/2021,107.666,
1622703600,03/06/2021,107.922,
1622790000,04/06/2021,107.417,
1623049200,07/06/2021,107.712,
1623135600,08/06/2021,107.793,
1623222000,09/06/2021,108.041,
1623308400,10/06/2021,108.087,
1623394800,11/06/2021,108.354,
1623654000,14/06/2021,108.247,
1623740400,15/06/2021,107.87,
