ISIN,US105756CD06,,
Coupon,2.875,,
Maturity,5 Years,,
Start,2020,End,2025
,,,
time,date,close,
1651561200,03/05/2022,95.730003,
1651647600,04/05/2022,95.758003,
1651734000,05/05/2022,96.114998,
1651820400,06/05/2022,95.758003,
1652079600,09/05/2022,95.542999,
1652166000,10/05/2022,95.734001,
1652252400,11/05/2022,95.741997,
1652338800,12/05/2022,95.992996,
1652425200,13/05/2022,95.976997,
1652684400,16/05/2022,95.957001,
1652770800,17/05/2022,95.964996,
1652857200,18/05/2022,95.872002,
1652943600,19/05/2022,95.987,
1653030000,20/05/2022,96.149002,
1653289200,23/05/2022,96.18,
1653375600,24/05/2022,96.176003,
1653462000,25/05/2022,96.373001,
1653548400,26/05/2022,96.600998,
1653634800,27/05/2022,96.772003,
1653894000,30/05/2022,96.889,
1653980400,31/05/2022,96.828003,
1654066800,01/06/2022,96.690002,
1654153200,02/06/2022,96.544998,
1654239600,03/06/2022,96.503998,
1654498800,06/06/2022,96.334,
1654585200,07/06/2022,96.202003,
1654671600,08/06/2022,96.25,
1654758000,09/06/2022,96.126999,
1654844400,10/06/2022,95.842003,
1655103600,13/06/2022,94.667999,
1655190000,14/06/2022,94.400002,
1655276400,15/06/2022,94.464996,
1655362800,16/06/2022,94.273003,
1655449200,17/06/2022,94.638,
1655708400,20/06/2022,94.580002,
1655794800,21/06/2022,94.569,
1655881200,22/06/2022,94.607002,
1655967600,23/06/2022,94.830002,
1656054000,24/06/2022,94.927002,
1656313200,27/06/2022,94.880997,
1656399600,28/06/2022,94.737,
1656486000,29/06/2022,94.445,
1656572400,30/06/2022,94.524002,
1656658800,01/07/2022,94.708,
1656918000,04/07/2022,94.959999,
1657004400,05/07/2022,94.907997,
1657090800,06/07/2022,95.001999,
1657177200,07/07/2022,94.946999,
1657263600,08/07/2022,94.976997,
1657522800,11/07/2022,94.832001,
1657609200,12/07/2022,94.681999,
1657695600,13/07/2022,94.474998,
1657782000,14/07/2022,94.502998,
1657868400,15/07/2022,94.421997,
1658127600,18/07/2022,94.453003,
1658214000,19/07/2022,94.646004,
1658300400,20/07/2022,95.140999,
1658386800,21/07/2022,95.398003,
1658473200,22/07/2022,95.573997,
1658732400,25/07/2022,95.815002,
1658818800,26/07/2022,95.928001,
1658905200,27/07/2022,95.704002,
1658991600,28/07/2022,95.967003,
1659078000,29/07/2022,96.501999,
1659337200,01/08/2022,96.650002,
1659423600,02/08/2022,96.681999,
1659510000,03/08/2022,96.335999,
1659596400,04/08/2022,96.860001,
1659682800,05/08/2022,97.121002,
1659942000,08/08/2022,97.123001,
1660028400,09/08/2022,97.042999,
1660114800,10/08/2022,96.691002,
1660201200,11/08/2022,97.129997,
1660287600,12/08/2022,97.083,
1660546800,15/08/2022,96.980003,
1660633200,16/08/2022,96.959999,
1660719600,17/08/2022,96.334999,
1660806000,18/08/2022,96.487999,
1660892400,19/08/2022,96.311996,
1661151600,22/08/2022,96.021004,
1661238000,23/08/2022,95.93,
1661324400,24/08/2022,96.013,
1661410800,25/08/2022,96.057999,
1661497200,26/08/2022,96.088997,
1661756400,29/08/2022,95.816002,
