ISIN,US105756CC23,,
Coupon,3.875,,
Maturity,10 years,,
Start,2020,End,2030
,,,
time,date,close,
1661929200,31/08/2022,87.589996,
1662015600,01/09/2022,87.202003,
1662102000,02/09/2022,87.455002,
1662361200,05/09/2022,87.793999,
1662447600,06/09/2022,87.695,
1662534000,07/09/2022,87.413002,
1662620400,08/09/2022,88.269997,
1662706800,09/09/2022,88.610001,
1662966000,12/09/2022,88.623001,
1663052400,13/09/2022,88.459,
1663138800,14/09/2022,87.664001,
1663225200,15/09/2022,87.523003,
1663311600,16/09/2022,87.138,
1663570800,19/09/2022,86.804001,
1663657200,20/09/2022,86.613998,
1663743600,21/09/2022,86.334,
1663830000,22/09/2022,86.231003,
1663916400,23/09/2022,84.822998,
1664175600,26/09/2022,83.464996,
1664262000,27/09/2022,82.723,
1664348400,28/09/2022,80.759003,
1664434800,29/09/2022,82.290001,
1664521200,30/09/2022,82.578003,
1664780400,03/10/2022,83.889999,
1664866800,04/10/2022,84.460999,
1664953200,05/10/2022,85.253998,
1665039600,06/10/2022,84.327003,
1665126000,07/10/2022,83.584999,
1665385200,10/10/2022,83.324997,
1665471600,11/10/2022,82.844002,
1665558000,12/10/2022,82.710999,
1665644400,13/10/2022,82.240997,
1665730800,14/10/2022,82.286003,
1665990000,17/10/2022,82.369003,
1666076400,18/10/2022,82.816002,
1666162800,19/10/2022,82.358002,
1666249200,20/10/2022,82.209999,
1666335600,21/10/2022,82.061996,
1666594800,24/10/2022,83.556,
1666681200,25/10/2022,83.762001,
1666767600,26/10/2022,84.184998,
1666854000,27/10/2022,83.872002,
1666940400,28/10/2022,84.089996,
1667203200,31/10/2022,84.511002,
1667289600,01/11/2022,85.027,
1667376000,02/11/2022,85.139999,
1667462400,03/11/2022,84.130997,
1667548800,04/11/2022,84.314003,
1667808000,07/11/2022,84.681999,
1667894400,08/11/2022,84.396004,
1667980800,09/11/2022,83.983002,
1668067200,10/11/2022,83.445999,
1668153600,11/11/2022,84.698997,
1668412800,14/11/2022,84.607002,
1668499200,15/11/2022,85.866997,
1668585600,16/11/2022,86.171997,
1668672000,17/11/2022,85.012001,
1668758400,18/11/2022,85.791,
1669017600,21/11/2022,85.406998,
1669104000,22/11/2022,85.733002,
1669190400,23/11/2022,86.204002,
1669276800,24/11/2022,86.477997,
1669363200,25/11/2022,86.494003,
1669622400,28/11/2022,86.507004,
1669708800,29/11/2022,86.863998,
1669795200,30/11/2022,87.378998,
1669881600,01/12/2022,88.275002,
1669968000,02/12/2022,88.679001,
1670227200,05/12/2022,89.012001,
1670313600,06/12/2022,88.823997,
1670400000,07/12/2022,88.309998,
1670486400,08/12/2022,89.008003,
1670572800,09/12/2022,89.078003,
1670832000,12/12/2022,88.996002,
1670918400,13/12/2022,88.474998,
1671004800,14/12/2022,88.974998,
1671091200,15/12/2022,88.656998,
1671177600,16/12/2022,87.803001,
1671436800,19/12/2022,87.578003,
1671523200,20/12/2022,86.883003,
1671609600,21/12/2022,87.140999,
1671696000,22/12/2022,87.508003,
1671782400,23/12/2022,87.417,
1672128000,27/12/2022,87.296997,
1672214400,28/12/2022,87.073997,
1672300800,29/12/2022,86.928001,
1672387200,30/12/2022,87.030998,
1672646400,02/01/2023,86.992996,
1672732800,03/01/2023,87.314003,
1672819200,04/01/2023,87.783997,
1672905600,05/01/2023,87.75,
1672992000,06/01/2023,87.638,
1673337600,10/01/2023,88.600998,
1673424000,11/01/2023,88.495003,
1673510400,12/01/2023,89.112999,
1673596800,13/01/2023,89.68,
1673856000,16/01/2023,89.662003,
1673942400,17/01/2023,89.304001,
1674028800,18/01/2023,90.029999,
1674115200,19/01/2023,90.264,
1674201600,20/01/2023,89.976997,
1674460800,23/01/2023,89.678001,
1674547200,24/01/2023,89.586998,
1674633600,25/01/2023,89.417999,
1674720000,26/01/2023,88.985001,
1674806400,27/01/2023,88.759003,
1675065600,30/01/2023,88.564003,
1675152000,31/01/2023,88.522003,
1675238400,01/02/2023,88.990997,
1675324800,02/02/2023,90.083,
1675411200,03/02/2023,90.185997,
1675670400,06/02/2023,89.163002,
1675756800,07/02/2023,88.565002,
1675843200,08/02/2023,88.485001,
1675929600,09/02/2023,88.375999,
1676016000,10/02/2023,87.144997,
1676275200,13/02/2023,87.222,
1676361600,14/02/2023,87.591003,
1676448000,15/02/2023,87.396004,
1676534400,16/02/2023,87.083,
1676620800,17/02/2023,86.193001,
1676880000,20/02/2023,86.359001,
1676966400,21/02/2023,85.834,
1677052800,22/02/2023,85.745003,
1677139200,23/02/2023,86.089996,
1677225600,24/02/2023,86.336998,
1677484800,27/02/2023,86.565002,
1677571200,28/02/2023,86.336998,
1677657600,01/03/2023,86.424004,
1677744000,02/03/2023,86.024002,
1677830400,03/03/2023,86.028999,
1678089600,06/03/2023,86.637001,
1678176000,07/03/2023,86.401001,
1678262400,08/03/2023,85.751999,
1678348800,09/03/2023,85.904999,
1678435200,10/03/2023,86.046997,
1678694400,13/03/2023,87.308998,
1678780800,14/03/2023,87.364998,
1678867200,15/03/2023,87.369003,
1678953600,16/03/2023,88.000999,
1679040000,17/03/2023,87.921997,
1679299200,20/03/2023,88.101997,
1679385600,21/03/2023,88.292999,
1679472000,22/03/2023,88.275002,
1679558400,23/03/2023,88.981003,
1679644800,24/03/2023,89.397003,
1679900400,27/03/2023,89.191002,
1679986800,28/03/2023,88.973,
1680073200,29/03/2023,88.959999,
1680159600,30/03/2023,89.318001,
1680246000,31/03/2023,89.417,
1680505200,03/04/2023,89.783997,
1680591600,04/04/2023,90.084999,
1680678000,05/04/2023,90.369003,
1680764400,06/04/2023,90.305,
1681196400,11/04/2023,89.625999,
1681282800,12/04/2023,89.744003,
1681369200,13/04/2023,89.682999,
1681455600,14/04/2023,89.879997,
1681714800,17/04/2023,89.643997,
1681801200,18/04/2023,89.462997,
1681887600,19/04/2023,89.391998,
1681974000,20/04/2023,89.261002,
1682060400,21/04/2023,89.344002,
1682319600,24/04/2023,89.252998,
1682406000,25/04/2023,89.467003,
1682492400,26/04/2023,89.445999,
1682578800,27/04/2023,89.348,
1682665200,28/04/2023,89.300003,
1683010800,02/05/2023,89.181,
1683097200,03/05/2023,89.488998,
1683183600,04/05/2023,89.613998,
1683270000,05/05/2023,89.460999,
1683529200,08/05/2023,89.226997,
1683615600,09/05/2023,89.237999,
1683702000,10/05/2023,89.446999,
1683788400,11/05/2023,89.714996,
1683874800,12/05/2023,89.844002,
1684134000,15/05/2023,89.575996,
1684220400,16/05/2023,89.567001,
1684306800,17/05/2023,89.542,
1684393200,18/05/2023,89.442001,
1684479600,19/05/2023,89.388,
1684738800,22/05/2023,89.375999,
1684825200,23/05/2023,89.302002,
1684911600,24/05/2023,89.264,
1684998000,25/05/2023,88.999001,
1685084400,26/05/2023,88.906998,
1685343600,29/05/2023,88.913002,
1685430000,30/05/2023,89.203003,
1685516400,31/05/2023,89.278999,
1685602800,01/06/2023,89.092003,
1685689200,02/06/2023,89.235001,
1685948400,05/06/2023,89.110001,
1686034800,06/06/2023,89.291,
1686121200,07/06/2023,89.375999,
1686207600,08/06/2023,89.027,
1686294000,09/06/2023,89.214996,
1686553200,12/06/2023,89.309998,
1686639600,13/06/2023,89.526001,
